,Year,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
0,2024,DE,Munich G,511.37,402.66,405.42,458.64,440.24,305.7,329.45,414.49,402.5,407.64
1,2023,DE,Munich G,202.88,180.48,237.97,392.03,426.35,383.92,286.56,223.31,360.07,301.46
2,2022,DE,Munich G,192.66,218.42,223.31,322.38,300.13,221.37,176.62,195.9,266.8,236.41
3,2021,DE,Munich G,201.41,,195.42,334.3,215.67,266.98,223.77,206.87,258.15,236.17
4,2020,DE,Munich G,246.4,,,222.14,157.03,145.93,185.13,215.77,175.03,191.33
5,2019,DE,Munich G,173.06,195.46,236.58,302.07,332.68,229.75,180.26,182.93,275.27,235.7
6,2018,DE,Munich G,163.36,158.87,183.11,264.2,248.44,155.03,136.42,152.88,212.7,187.06
7,2017,DE,Munich G,108.77,103.93,131.92,180.36,211.3,129.87,114.98,109.23,163.36,140.16
8,2016,DE,Munich G,94.37,103.65,161.12,137.1,107.43,106.79,86.07,94.7,128.11,113.79
9,2015,DE,Munich G,21.63,,15.95,19.37,,25.97,51.11,36.37,20.43,"45895,00"
10,2014,DE,Munich G,80.77,74.15,64.73,75.85,130.12,125.25,"48700,00",73.22,84.14,79.46
