Year,Aalborg,Aarhus,Adana,Almada,Amsterdam,Ankara,Antwerp Deurne,Antwerp Zuid,Athens,Australia (55 sites),Australia (59 sites),Barcelona,Basel,Belgrade,Belo Horizonte (2),Bergen (2),Berne,Boevange,Bologna,Bordeaux I,Bozen,Brasilia (I-VII),Bratislava C,Bristol,Brno,Brussels,Budapest,Castellon,Cluj Napoca,Concepción,Copenhagen,Curitiba (2),Debrecen,Domžale-Kamnik,Dortmund,Dresden,Dublin,Dülmen,Eindhoven,Eleusis,Esbjerg,Fortaleza,Geneva,Geraardsbergen,Goiânia,Gothenburg,Graz,Groningen,Gävle,Hall-Wattens,Innsbruck,Istanbul (II-VII),João Pessoa,Kapfenberg,Karlovy Vary,Karlstad,Klagenfurt,Knittelfeld,Kohtla-Järve (2),Koksijde,Koper,Korneuburg,Krakow P,Kranj,Kufstein,Lebu,Leeuwarden,Lisbon,Ljubljana,Lleida,Los Angeles,Luxembourg,Madrid VdlV,Mamer,Maribor,Mersch,Milan,Montreal,Mürzzuschlag,Narva,Natal,Ninove,Niterói (2),Novi Sad,Novo mesto,Næstved,Odense,Oslo (2),Ostrava,Paris Seine Centre,Paris South Suburbs,Piestany,Plzeň,Porto,Porto Alegre (2 - 2024),Prague (2),Purgstall,Recife,Region Millstättersee,Reykjavik Klettagarðar,Ried im Innkreis,Rome,Rotterdam (2),Salzburg,Sandviken,Santiago,Sarajevo,Seattle,Serraria,Split,St. Gallen Hofen,Steyr,Stockholm (2),Strass im Zillertal,São Luis,São Paulo (I-V),Söderhamn,Tallinn,Tarragona,Tartu,Trollhättan,Trondheim (2),Umea,Utrecht,Valencia (3),Velenje,Växjö,Wasserverband Hofsteig,Wien,Wiener Neustadt,Wildon,Zagreb,Zurich,Zwolle,Ústí nad Labem,České Budějovice
2011,,,,,191.77,,,0.0,,,,108.63,,,,,,,,,,,,,,,,101.73,,,,,,,,,,,102.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.61,,,,,,,,,,,,,123.59,,,,,,,,,,,,,,,,78.79,,,,,,,,,,,,,,,,,0.0,109.17,14.25,,,,,,,30.59,,,,50.37
2012,,,,,178.95,,57.3,124.7,,,,78.52,,,,,,,,,,,,,,73.11,,117.35,,,,,,,,,,,84.42,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.25,,,,,,,,,,,,,117.46,,,,,,61.7,,,,,,,,,,116.95,,,,,,,,,,,,,,,,,0.0,133.29,,,,,,,,44.71,,,,56.36
2013,,,,,,,79.53,129.62,103.56,,,126.09,,16.92,,,,,,,,,,,,89.47,,55.74,0.0,,,,,,84.53,29.93,,59.79,,,,,,6.59,,0.0,,,,,,,,,,,,,,30.42,,,,,,,,,,,,,,,,,24.91,,,,,39.95,,185.88,,,,,,151.03,,20.92,,,,79.63,,,,,,,,,,56.72,39.77,,,,,,,,,,,,,,,,0.0,,67.72,,,,,,,63.01,,,,73.28
2018,,,,77.29,264.22,,,,50.85,,,230.82,,,,,,,,164.91,45.7,,41.84,,34.97,,,64.2,,,,,,22.81,,,,,125.57,,,,,,,,,,,70.21,91.09,,,,,,,,,,,,,,,,,117.67,38.36,,,,56.83,,,,31.44,,,,,,,,,,,,,83.14,87.98,17.96,,44.67,,,,,39.33,97.31,,,,,,64.9,,,,,,,,,,,,,,,,,,100.66,26.37,,,68.18,,,,120.03,,,,36.86
2019,,,15.9,47.38,260.78,,,,52.56,,,149.76,18.37,,,,21.35,,,171.25,48.9,,33.69,,41.98,,,84.28,,,,,,53.39,,,,,129.81,21.46,,,217.04,,,,59.61,,161.73,65.83,81.48,9.25,,65.7,,,,,,,101.12,,27.96,,,,,101.78,103.53,,,,88.68,,59.52,,35.68,,41.4,,,,,,71.83,,,,56.3,93.67,,27.68,,53.01,,140.77,30.6,,31.5,86.15,,,,,,120.06,,,,,13.31,,,,,,,,,,,,,131.76,143.68,90.0,,81.01,,,,186.13,140.2,,,41.69
2020,,,15.89,107.07,247.53,,,,41.56,,,,,,,,11.92,,,,33.86,,,,,,,69.49,,,,,,,,,,,135.44,18.98,,,188.27,,,,50.69,,52.19,43.17,61.49,35.81,,60.49,100.54,,,,,,,,29.88,,59.41,,,91.24,,,,,,,,,47.64,,,,,,,,,,,,70.68,163.69,,,,63.21,,90.35,38.96,,31.63,116.35,,,,,39.31,92.14,,,,,10.23,,,28.56,,,37.03,,,,,,,146.02,,,,79.34,,,,228.93,114.68,,,
2021,,,37.11,109.35,157.64,,,,38.73,,,,,,,,,,,,38.38,,20.84,,83.8,,,66.82,,,,,,66.73,,,,,112.6,,,,,,,,87.17,,47.17,36.21,97.72,24.47,,76.53,122.59,,,,,,117.31,,51.15,,91.24,,,101.77,143.02,,,,,,100.66,,42.98,,,37.34,,,,,76.05,,,,82.08,117.74,,20.92,,47.55,,91.03,37.71,,24.25,,,,,,37.61,82.68,,,,,,,,31.95,,,42.4,,39.64,25.73,,,,89.53,,74.48,,94.49,,,,132.9,,,,117.64
2022,,,,134.0,169.39,,,,,,,151.1,132.45,,,,110.16,,,,43.44,,41.64,0.0,49.7,,,54.53,,,,,,55.59,,,,,98.31,,,,180.81,,,,60.24,,55.48,45.42,83.61,22.91,,21.4,121.41,,55.92,52.53,47.9,,82.0,56.33,46.03,38.01,104.54,,,129.91,79.95,89.24,,,,,61.62,,53.33,,,,,,,,57.46,,,,76.25,,,26.72,,64.12,,112.38,30.04,,47.17,121.63,,,,58.2,30.94,92.81,,,,,,71.15,,34.07,,,,56.84,87.71,,,,,99.56,93.94,72.36,23.55,50.56,83.12,66.82,47.94,96.34,132.53,,,103.22
2023,,,,102.58,195.74,24.4,,,,247.68,,220.63,56.09,,,,85.71,99.62,,,57.71,,34.3,,45.5,,,75.27,,85.05,,,13.12,65.81,,,,,147.64,,,,150.01,,,,64.2,,48.68,49.2,84.29,14.16,,67.42,109.13,,41.55,56.66,,,167.48,,37.54,56.59,90.77,81.92,199.84,113.19,137.36,172.82,60.91,,,133.98,88.6,114.95,54.22,,,,,,,,73.9,,,,54.13,119.1,,23.42,114.72,98.29,,,42.96,,49.5,69.06,,,225.36,55.15,,71.9,,,,,,86.59,,35.81,,,,65.23,192.64,36.13,,,,146.61,80.23,78.17,31.2,49.14,80.09,60.51,45.96,85.68,121.1,,,73.5
2024,90.62,65.53,,119.1,319.46,16.86,,,36.9,,133.76,220.68,30.7,,23.42,132.72,47.01,,82.04,,52.72,54.65,58.46,,72.31,,56.78,65.04,,47.14,123.35,17.19,,46.61,,,98.1,,124.64,,111.19,27.72,145.37,,49.05,,66.17,258.08,44.8,49.73,79.05,16.52,0.0,53.46,71.97,36.84,42.84,39.0,,,81.88,,41.68,45.65,74.09,58.4,,150.83,90.21,121.31,33.37,140.4,,,64.97,,52.28,577.32,,,21.04,,67.13,,36.84,93.55,78.41,163.11,61.53,53.88,,52.34,105.41,53.74,37.05,80.35,38.52,5.41,25.8,55.12,58.15,78.77,147.99,50.76,,54.32,,598.54,41.4,4.93,,61.54,57.61,31.97,4.58,7.82,,,228.9,,49.74,110.78,,122.44,,68.18,46.85,55.86,87.34,55.94,31.32,88.8,87.59,98.16,47.72,118.02
