Year;Country;City;Wednesday;Thursday;Friday;Saturday;Sunday;Monday;Tuesday;Weekday mean;Weekend mean;Daily mean
2014;DE;Dortmund;259.07;272.48;246.27;310.79;192.99;150.62;270.58;267.38;225.17;243.26
2015;DE;Dortmund;267.12;255.26;270.79;330.18;346.82;230.55;227.53;249.97;294.59;275.46
2016;DE;Dortmund;487.4;538.96;465.1;504.23;450.16;227.3;272.01;432.79;411.7;420.74
2017;DE;Dortmund;354.22;402.17;447.1;520.19;496.91;404.5;375.59;377.33;467.18;428.67
2018;DE;Dortmund;327.41;351.55;391.98;435.67;488.33;350.5;308.15;329.04;416.62;379.08
2019;DE;Dortmund;308.68;356.67;384.64;494.73;496.03;303.88;278.84;314.73;419.82;374.78
2020;DE;Dortmund;302.36;252.51;242.48;247.62;369.85;351.73;368.69;307.85;302.92;305.04
2021;DE;Dortmund;422.78;;403.37;555.31;489.19;476.84;500.65;442.27;502.63;476.76
2022;DE;Dortmund;271.86;333.38;420.88;315.29;460.96;295.66;;302.62;373.2;349.67
2023;DE;Dortmund;449.54;451.48;436.41;593.38;677.63;687.12;538.01;479.68;598.63;547.65
2024;DE;Dortmund;408.05;541.82;480.56;574.62;525.97;406.17;428.16;459.34;496.83;480.76
