Stadt;Jahr;Gesamt_Berichte;Relevante_Berichte;Durchschnitts_Score;Frequenz_Prozent
Chemnitz;2018;1;0;0,0;0,0
Chemnitz;2019;15;0;0,0;0,0
Chemnitz;2020;56;2;0,0044;3,5714
Chemnitz;2021;62;0;0,0;0,0
Chemnitz;2022;90;0;0,0;0,0
Chemnitz;2023;141;3;0,0024;2,1277
Chemnitz;2024;80;3;0,0037;3,75
Chemnitz;2025;242;4;0,0021;1,6529
Dortmund;2021;86;3;0,0034;3,4884
Dortmund;2022;2381;94;0,005;3,9479
Dortmund;2023;2299;118;0,0065;5,1327
Dortmund;2024;2223;88;0,0055;3,9586
Dortmund;2025;3811;52;0,002;1,3645
Erfurt;2018;3;0;0,0;0,0
Erfurt;2019;38;0;0,0;0,0
Erfurt;2020;112;6;0,0112;5,3571
Erfurt;2021;134;2;0,0016;1,4925
Erfurt;2022;137;3;0,0021;2,1898
Erfurt;2023;354;16;0,0066;4,5198
Erfurt;2024;1752;28;0,0019;1,5982
Erfurt;2025;2470;25;0,0016;1,0121
Nuernberg;2016;2;0;0,0;0,0
Nuernberg;2017;3;0;0,0;0,0
Nuernberg;2018;3;0;0,0;0,0
Nuernberg;2019;21;0;0,0;0,0
Nuernberg;2020;130;3;0,0037;2,3077
Nuernberg;2021;84;2;0,0007;2,381
Nuernberg;2022;112;3;0,0048;2,6786
Nuernberg;2023;209;6;0,0037;2,8708
Nuernberg;2024;981;13;0,0014;1,3252
Nuernberg;2025;1320;10;0,0013;0,7576
